file,layout,cert_no,unit_id,building,city,state,unit_type,capacity_lbs,inspection_date,next_due,inspector,result,invoice_total,defect_count
MES-2026-4100.pdf,A,MES-2026-4100,D97-6,Kestrel Plaza,Denver,CO,Freight,4000,01/13/2026,01/13/2027,A. Vasquez,FAIL,1766.82,3
MES-2026-4101.pdf,B,MES-2026-4101,B75-5,Kestrel Plaza,Denver,CO,Traction Passenger,3500,04/22/2026,04/22/2027,M. Lindqvist,PASS,963.28,0
MES-2026-4102.pdf,C,MES-2026-4102,E11-2,Harborview Tower,Portland,OR,Freight,,04/02/2026,04/02/2027,D. Whitfield,FAIL,1001.53,3
MES-2026-4103.pdf,A,MES-2026-4103,E85-4,Northgate Exchange,Reno,NV,Traction Passenger,2100,07/02/2026,07/02/2027,K. Nakamura,PASS WITH DEFECTS,878.05,3
MES-2026-4104.pdf,B,MES-2026-4104,A35-4,Copperfield Center,Bend,OR,Traction Passenger,3500,07/19/2026,07/19/2027,D. Whitfield,PASS,1237.33,0
MES-2026-4105.pdf,C,MES-2026-4105,E37-4,Larkspur Union,Missoula,MT,Traction Passenger,3000,07/22/2026,07/22/2027,S. Ferrara,PASS,395.86,0
MES-2026-4106.pdf,A,MES-2026-4106,A74-4,Harborview Tower,Portland,OR,Traction Passenger,3500,04/10/2026,04/10/2027,K. Nakamura,FAIL,515.46,1
MES-2026-4107.pdf,B,MES-2026-4107,D26-5,Larkspur Union,Missoula,MT,Escalator,3000,07/25/2026,07/25/2027,J. Bhatt,PASS,726.87,0
MES-2026-4108.pdf,C,MES-2026-4108,A49-3,Copperfield Center,Bend,OR,Freight,3500,01/11/2026,01/11/2027,R. Okonkwo,FAIL,1620.19,3
MES-2026-4109.pdf,A,MES-2026-4109,B30-4,Larkspur Union,Missoula,MT,Traction Passenger,2100,03/22/2026,03/22/2027,T. Moreau,PASS WITH DEFECTS,536.79,2
MES-2026-4110.pdf,B,MES-2026-4110,C88-2,Harborview Tower,Portland,OR,Freight,6000,03/14/2026,03/14/2027,R. Okonkwo,PASS,1583.08,0
MES-2026-4111.pdf,C,MES-2026-4111,E19-2,Copperfield Center,Bend,OR,Freight,,02/13/2026,02/13/2027,R. Okonkwo,FAIL,1647.92,1
MES-2026-4112.pdf,A,MES-2026-4112,C83-3,Ironwood Residences,Spokane,WA,Traction Passenger,3500,03/22/2026,03/22/2027,S. Ferrara,PASS,1439.22,0
MES-2026-4113.pdf,B,MES-2026-4113,B95-6,Alder Commons,Boise,ID,Freight,2100,06/09/2026,06/09/2027,T. Moreau,FAIL,285.82,2
MES-2026-4114.pdf,C,MES-2026-4114,B91-2,Harborview Tower,Portland,OR,Freight,3500,05/10/2026,05/10/2027,J. Bhatt,PASS,398.08,0
MES-2026-4115.pdf,A,MES-2026-4115,A72-3,Sable Point Medical,Tacoma,WA,Hydraulic Passenger,4000,06/17/2026,06/17/2027,R. Okonkwo,PASS,1735.54,0
MES-2026-4116.pdf,B,MES-2026-4116,B80-4,Harborview Tower,Portland,OR,Traction Passenger,3000,02/04/2026,02/04/2027,A. Vasquez,FAIL,1626.78,2
MES-2026-4117.pdf,C,MES-2026-4117,E14-3,Sable Point Medical,Tacoma,WA,Traction Passenger,3000,05/01/2026,05/01/2027,A. Vasquez,PASS,906.87,0
MES-2026-4118.pdf,A,MES-2026-4118,C33-4,Copperfield Center,Bend,OR,Traction Passenger,4000,02/16/2026,02/16/2027,R. Okonkwo,PASS,728.57,0
MES-2026-4119.pdf,B,MES-2026-4119,C10-3,Kestrel Plaza,Denver,CO,Traction Passenger,2100,07/20/2026,07/20/2027,A. Vasquez,PASS WITH DEFECTS,1389.77,2
